Прайс лабораторных анализов;;;;;;;
1. ОБЩЕКЛИНИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ;;;;;;;
;;;;;;;
1.1. Общеклинические исследования крови;;;;;;;
* тест TRO выполняется только в комплексе с тестом №5;;;;;;;
33;;;Холестерин ЛПНП (Холестерин липопротеинов низкой плотности, ЛПНП, β-холестерин) (Low-Density Lipoprotein Cholesterol, LDL Cholesterol)*;;Сыворотка крови;1 к.д.;225,00
218;;;Холестерин-ЛПОНП (Холестерин липопротеинов очень низкой плотности, ЛПОНП, VLDL Cholesterol);;Сыворотка крови;1 к.д.;435,00
1071;;;Липопротеин (a), ЛП (а) (Lipoprotein (a), Lp (a));;Сыворотка крови;1 к.д.;1 010,00
219;;;Аполипопротеин А1 (Апопротеин А1, апо А1) (Apolipoprotein A1, Apo A1);;Сыворотка крови;1 к.д.;685,00
220;;;Аполипопротеин B (Апопротеин B, апо В) (Apolipoprotein B, Apo B);;Сыворотка крови;1 к.д.;510,00
1512BILE;;;Желчные кислоты (Bile Acids);;Сыворотка крови;1 к.д.;3 000,00
4.3. Белки и аминокислоты;;;;;;;
* Тест №29 выполняется только в комплексе с тестом №28;;;;;;;
10;;;Альбумин (Albumin);;Сыворотка крови;1 к.д.;280,00
28;;;Общий белок (Protein Total);;Сыворотка крови;1 к.д.;210,00
29;;;Белковые фракции (Serum Protein Electrophoresis, SPE, SPEР)*;;Сыворотка крови;1 р.д.;400,00
4050;;;М-градиент, скрининг. Электрофорез сыворотки крови, иммунофиксация с поливалентной антисывороткой, количественная оценка М-белка (без типирования) (M-Gradient, Screening. Serum Protein Electrophoresis (SPEP), Immunofixation with Polyvalent Antiserum, Quantification of M-Protein (without Typing));;Сыворотка крови;до 12 р.д.;2 525,00
4051;;;М-градиент, типирование. Электрофорез сыворотки крови, иммунофиксация с панелью антисывороток (раздельно к IgG, IgA, IgM, каппа, лямбда), количественная оценка М-белка (M-Gradient, Typing. Serum Protein Electrophoresis (SPEP), Immunofixation with Antisera (IgG, IgA, IgM, Kappa, Lambda), Quantification of M-Protein);;Сыворотка крови;до 12 р.д.;4 675,00
1551;;;Электрофорез белков мочи, определение типа протеинурии (Urine Protein Electrophoresis);;Моча;до 10 р.д.;1 900,00
1552;;;Белок Бенс-Джонса в моче, скрининг с применением иммунофиксации и количественное определение (Bence-Jones Protein, Urine, Immunofixation, Quantification );;Моча;до 10 р.д.;2 270,00
1553;;;Белок Бенс-Джонса в моче: иммунофиксация, количественное определение, типирование каппа, лямбда (Bence-Jones Protein, Urine, Electrophoresis, Immunofixation, Kappa/Lambda Typing, Quantification );;Моча;до 10 р.д.;3 990,00
1539;;;Свободные легкие цепи иммуноглобулинов каппа и лямбда сыворотки с расчетом индекса каппа/лямбда;;Сыворотка крови;до 9 р.д.;2 355,00
1540;;;Свободные легкие цепи иммуноглобулинов каппа и лямбда в моче (Urine immunoglobulin free light chains (FLC) kappa and lambda);;Моча;до 9 р.д.;1 615,00
153;;;Гомоцистеин (Homocysteine);;Сыворотка крови;1 к.д.;1 530,00
1689;;;Аминокислоты в плазме крови - скрининговое исследование 13 показателей;;Плазма крови;до 6 к.д.;5 200,00
1690;;;Аминокислоты в плазме крови, 48 показателей;;Плазма крови;до 6 к.д.;7 865,00
1792;;;Аминокислоты в плазме крови - экспертное количественное исследование для выявления функциональных метаболических изменений (48 показателей), ВЭЖХ-МС;;Плазма крови;до 6 к.д.;8 755,00
1862;;;(Chromolab) Оценка функции сердечно-сосудистой системы, функции почек - лабораторные маркеры, ВЭЖХ-МС;;Плазма крови;до 10 к.д.;3 940,00
1863;;;(Chromolab) Метилированные производные аргинина: монометиларгинин (MMA), асимметричный диметиларгинин (ADMA), симметричный диметиларгинин (SDMA) - в плазме крови. Расчетные соотношения: (ADMA+SDMA)/MMA, SDMA/MMA, ADMA/MMA, ADMA/SDMA, ВЭЖХ-МС;;Плазма крови;до 10 к.д.;2 460,00
1867;;;(Chromolab) Оценка функционального состояния кишечника (последствия антибиотикотерапии) - лабораторные маркеры, ГХ-МС;;Моча;до 7 к.д.;4 060,00
2041;;;(Chromolab) Энергетический блок - лабораторные маркеры, ГХ-МС, ВЭЖХ-МС;;;до 6 к.д.;4 010,00
2043;;;(Chromolab) Эффективность энергообеспечения клетки (работа митохондрий) - лабораторные маркеры, ГХ-МС, ВЭЖХ-МС;;;до 8 к.д.;4 370,00
4.4. Оценка функции почек;;;;;;;
